ByteBufOutputStream,0.9767441860465116,1.0,1.411764705882353,124,16,2,0.823529412,0,2,io.netty.buffer.ByteBufOutputStream
AdvancedLeakAwareByteBuf,0.0,0.0,1.0347826086956522,707,114,1,1.0,2,2,io.netty.buffer.AdvancedLeakAwareByteBuf
EmptyByteBuf,0.24882629107981222,0.225,1.5263157894736843,849,150,6,0.993377483,1,2,io.netty.buffer.EmptyByteBuf
DuplicatedByteBuf,0.9873417721518988,1.0,1.0196078431372548,288,49,1,0.98,3,4,io.netty.buffer.DuplicatedByteBuf
PooledHeapByteBuf,0.9026548672566371,0.7,1.2162162162162162,276,35,1,1.0,0,5,io.netty.buffer.PooledHeapByteBuf
PooledUnsafeDirectByteBuf,0.8607594936708861,0.5967741935483871,1.9545454545454546,361,42,3,1.0,0,9,io.netty.buffer.PooledUnsafeDirectByteBuf
AbstractReferenceCountedByteBuf,0.7222222222222222,0.6071428571428571,3.8,127,9,1,0.7,2,2,io.netty.buffer.AbstractReferenceCountedByteBuf
UnpooledDirectByteBuf,0.8228346456692913,0.5921052631578947,2.0163934426229506,576,59,2,0.95,3,5,io.netty.buffer.UnpooledDirectByteBuf
PooledDuplicatedByteBuf,0.8333333333333334,1.0,1.0,37,4,1,1.0,4,3,io.netty.buffer.PooledDuplicatedByteBuf
PoolSubpageMetric,1.0,1.0,1.0,25,4,0,0.0,0,0,io.netty.buffer.PoolSubpageMetric
UnpooledHeapByteBuf,0.8666666666666667,0.5333333333333333,1.4074074074074074,421,51,2,0.980769231,3,4,io.netty.buffer.UnpooledHeapByteBuf
ByteBufInputStream,1.0,0.967741935483871,2.0,234,24,1,0.92,0,2,io.netty.buffer.ByteBufInputStream
ByteBufProcessor,1.0,1.0,1.4,105,0,0,0.0,0,0,io.netty.buffer.ByteBufProcessor
WrappedByteBuf,0.14814814814814814,0.5,1.0135135135135136,810,147,1,1.0,1,2,io.netty.buffer.WrappedByteBuf
UnpooledUnsafeDirectByteBuf,0.7954545454545454,0.5588235294117647,2.510204081632653,497,47,3,0.9375,3,7,io.netty.buffer.UnpooledUnsafeDirectByteBuf
ReadOnlyUnsafeDirectByteBuf,0.3877551020408163,0.16666666666666666,2.8181818181818183,113,10,2,0.909090909,4,4,io.netty.buffer.ReadOnlyUnsafeDirectByteBuf
PoolChunkList,0.3684210526315789,0.23684210526315788,3.5,142,9,2,1.0,1,4,io.netty.buffer.PoolChunkList
ByteBufHolder,1.0,1.0,1.0,32,7,0,0.5,0,1,io.netty.buffer.ByteBufHolder
PoolChunkMetric,1.0,1.0,1.0,20,3,0,0.0,0,0,io.netty.buffer.PoolChunkMetric
SimpleLeakAwareByteBuf,0.45454545454545453,0.3333333333333333,1.4,67,9,1,1.0,2,2,io.netty.buffer.SimpleLeakAwareByteBuf
